uid,label,chi,start,end 
sim_216_30,0,"[[  0. 383. 606.]
 [  1. 384. 606.]
 [  2. 386. 608.]
 ...
 [298. 670. 908.]
 [299. 670. 908.]
 [300. 671. 908.]]",[383. 606.],[671. 908.]
sim_217_0,1,"[[  0.  34. 546.]
 [  1.  36. 547.]
 [  2.  40. 549.]
 ...
 [298. 376. 733.]
 [299. 377. 731.]
 [300. 378. 729.]]",[ 34. 546.],[378. 729.]
sim_217_1,1,"[[ 279.  230. 1023.]
 [ 280.  229. 1023.]
 [ 281.  228. 1022.]
 ...
 [ 283.  226. 1020.]
 [ 284.  226. 1019.]
 [ 285.  227. 1021.]]",[ 230. 1023.],[ 227. 1021.]
sim_217_2,1,"[[163. 710.   0.]
 [164. 710.   6.]
 [165. 712.  11.]
 ...
 [298. 807. 350.]
 [299. 806. 352.]
 [300. 806. 354.]]",[710.   0.],[806. 354.]
sim_217_3,1,"[[0.000e+00 8.200e+01 9.150e+02]
 [1.000e+00 8.200e+01 9.170e+02]
 [2.000e+00 8.200e+01 9.200e+02]
 ...
 [1.150e+02 3.340e+02 1.019e+03]
 [1.160e+02 3.370e+02 1.021e+03]
 [1.170e+02 3.380e+02 1.023e+03]]",[ 82. 915.],[ 338. 1023.]
sim_217_4,1,"[[ 19.   1. 198.]
 [ 20.   2. 203.]
 [ 21.   2. 208.]
 ...
 [298. 210. 372.]
 [299. 209. 372.]
 [300. 209. 371.]]",[  1. 198.],[209. 371.]
sim_217_5,1,"[[  0.  84. 735.]
 [  1.  84. 735.]
 [  2.  85. 735.]
 ...
 [298. 314. 820.]
 [299. 314. 821.]
 [300. 313. 820.]]",[ 84. 735.],[313. 820.]
sim_217_6,1,"[[0.000e+00 9.780e+02 4.930e+02]
 [1.000e+00 9.790e+02 4.920e+02]
 [2.000e+00 9.820e+02 4.920e+02]
 ...
 [2.160e+02 1.019e+03 8.090e+02]
 [2.170e+02 1.020e+03 8.090e+02]
 [2.180e+02 1.023e+03 8.080e+02]]",[978. 493.],[1023.  808.]
sim_217_7,1,"[[  72. 1023.  295.]
 [  73. 1020.  298.]
 [  74. 1017.  300.]
 ...
 [ 158. 1013.  515.]
 [ 159. 1017.  517.]
 [ 160. 1021.  519.]]",[1023.  295.],[1021.  519.]
sim_217_8,1,"[[0.000e+00 8.620e+02 2.630e+02]
 [1.000e+00 8.640e+02 2.650e+02]
 [2.000e+00 8.650e+02 2.670e+02]
 ...
 [1.840e+02 1.020e+03 4.760e+02]
 [1.850e+02 1.022e+03 4.790e+02]
 [1.860e+02 1.024e+03 4.850e+02]]",[862. 263.],[1024.  485.]
sim_217_9,1,"[[0.000e+00 2.540e+02 6.650e+02]
 [1.000e+00 2.560e+02 6.660e+02]
 [2.000e+00 2.580e+02 6.670e+02]
 ...
 [2.780e+02 2.020e+02 1.015e+03]
 [2.790e+02 2.020e+02 1.019e+03]
 [2.800e+02 2.020e+02 1.022e+03]]",[254. 665.],[ 202. 1022.]
sim_217_10,1,"[[0.000e+00 6.060e+02 8.720e+02]
 [1.000e+00 6.060e+02 8.720e+02]
 [2.000e+00 6.050e+02 8.720e+02]
 ...
 [2.720e+02 8.720e+02 1.017e+03]
 [2.730e+02 8.720e+02 1.020e+03]
 [2.740e+02 8.730e+02 1.023e+03]]",[606. 872.],[ 873. 1023.]
sim_217_11,1,"[[0.000e+00 5.850e+02 5.460e+02]
 [1.000e+00 5.870e+02 5.470e+02]
 [2.000e+00 5.880e+02 5.490e+02]
 ...
 [2.980e+02 6.580e+02 1.023e+03]
 [2.990e+02 6.590e+02 1.023e+03]
 [3.000e+02 6.600e+02 1.023e+03]]",[585. 546.],[ 660. 1023.]
sim_217_12,1,"[[0.000e+00 5.250e+02 7.010e+02]
 [1.000e+00 5.260e+02 7.010e+02]
 [2.000e+00 5.260e+02 7.020e+02]
 ...
 [2.010e+02 4.920e+02 1.019e+03]
 [2.020e+02 4.890e+02 1.022e+03]
 [2.030e+02 4.860e+02 1.024e+03]]",[525. 701.],[ 486. 1024.]
sim_217_13,1,"[[  0. 589.  48.]
 [  1. 589.  49.]
 [  2. 591.  49.]
 ...
 [298. 676. 217.]
 [299. 677. 217.]
 [300. 680. 216.]]",[589.  48.],[680. 216.]
sim_217_14,1,"[[171. 215.   1.]
 [172. 215.   4.]
 [173. 216.   6.]
 ...
 [181. 215.   4.]
 [182. 212.   2.]
 [183. 209.   0.]]",[215.   1.],[209.   0.]
sim_217_15,1,"[[0.000e+00 7.060e+02 8.000e+02]
 [1.000e+00 7.070e+02 8.010e+02]
 [2.000e+00 7.090e+02 8.020e+02]
 ...
 [2.070e+02 9.210e+02 1.012e+03]
 [2.080e+02 9.240e+02 1.015e+03]
 [2.090e+02 9.280e+02 1.020e+03]]",[706. 800.],[ 928. 1020.]
sim_217_16,1,"[[  0.  14. 365.]
 [  1.  13. 366.]
 [  2.  14. 367.]
 ...
 [159.   5. 344.]
 [160.   2. 345.]
 [161.   0. 345.]]",[ 14. 365.],[  0. 345.]
sim_217_17,1,"[[0.000e+00 9.510e+02 6.450e+02]
 [1.000e+00 9.530e+02 6.440e+02]
 [2.000e+00 9.540e+02 6.430e+02]
 ...
 [9.300e+01 1.016e+03 6.810e+02]
 [9.400e+01 1.020e+03 6.840e+02]
 [9.500e+01 1.023e+03 6.860e+02]]",[951. 645.],[1023.  686.]
sim_217_18,0,"[[  0. 182. 455.]
 [  1. 182. 455.]
 [  2. 183. 456.]
 ...
 [298. 480. 754.]
 [299. 481. 755.]
 [300. 483. 755.]]",[182. 455.],[483. 755.]
sim_217_19,0,"[[  0. 664. 176.]
 [  1. 664. 177.]
 [  2. 666. 178.]
 ...
 [298. 970. 484.]
 [299. 971. 486.]
 [300. 972. 487.]]",[664. 176.],[972. 487.]
sim_217_20,0,"[[187.   0. 350.]
 [188.   1. 351.]
 [189.   2. 351.]
 ...
 [298. 107. 461.]
 [299. 109. 462.]
 [300. 110. 464.]]",[  0. 350.],[110. 464.]
sim_217_21,0,"[[3.000e+00 8.670e+02 0.000e+00]
 [4.000e+00 8.680e+02 1.000e+00]
 [5.000e+00 8.680e+02 1.000e+00]
 ...
 [1.570e+02 1.021e+03 1.570e+02]
 [1.580e+02 1.022e+03 1.580e+02]
 [1.590e+02 1.023e+03 1.600e+02]]",[867.   0.],[1023.  160.]
sim_217_22,0,"[[0.000e+00 8.400e+01 7.090e+02]
 [1.000e+00 8.500e+01 7.100e+02]
 [2.000e+00 8.700e+01 7.110e+02]
 ...
 [2.980e+02 3.850e+02 1.012e+03]
 [2.990e+02 3.860e+02 1.014e+03]
 [3.000e+02 3.860e+02 1.014e+03]]",[ 84. 709.],[ 386. 1014.]
sim_217_23,0,"[[0.000e+00 6.980e+02 7.650e+02]
 [1.000e+00 6.990e+02 7.660e+02]
 [2.000e+00 7.000e+02 7.670e+02]
 ...
 [2.600e+02 9.690e+02 1.022e+03]
 [2.610e+02 9.700e+02 1.022e+03]
 [2.620e+02 9.720e+02 1.023e+03]]",[698. 765.],[ 972. 1023.]
sim_217_24,0,"[[2.160e+02 0.000e+00 9.470e+02]
 [2.170e+02 1.000e+00 9.480e+02]
 [2.180e+02 3.000e+00 9.490e+02]
 ...
 [2.930e+02 7.900e+01 1.022e+03]
 [2.940e+02 8.000e+01 1.023e+03]
 [2.950e+02 8.000e+01 1.024e+03]]",[  0. 947.],[  80. 1024.]
sim_217_25,0,"[[135. 780.   0.]
 [136. 781.   2.]
 [137. 781.   3.]
 ...
 [298. 947. 165.]
 [299. 947. 166.]
 [300. 948. 168.]]",[780.   0.],[948. 168.]
sim_217_26,0,"[[  0. 334. 566.]
 [  1. 335. 567.]
 [  2. 336. 567.]
 ...
 [298. 627. 860.]
 [299. 629. 861.]
 [300. 630. 861.]]",[334. 566.],[630. 861.]
sim_217_27,0,"[[  0. 319. 179.]
 [  1. 320. 179.]
 [  2. 321. 180.]
 ...
 [298. 611. 474.]
 [299. 613. 476.]
 [300. 614. 477.]]",[319. 179.],[614. 477.]
sim_217_28,0,"[[0.000e+00 7.110e+02 1.910e+02]
 [1.000e+00 7.120e+02 1.920e+02]
 [2.000e+00 7.120e+02 1.930e+02]
 ...
 [2.980e+02 1.018e+03 4.770e+02]
 [2.990e+02 1.019e+03 4.780e+02]
 [3.000e+02 1.020e+03 4.790e+02]]",[711. 191.],[1020.  479.]
sim_217_29,0,"[[0.000e+00 8.930e+02 2.070e+02]
 [1.000e+00 8.940e+02 2.080e+02]
 [2.000e+00 8.950e+02 2.080e+02]
 ...
 [1.250e+02 1.022e+03 3.360e+02]
 [1.260e+02 1.023e+03 3.360e+02]
 [1.270e+02 1.023e+03 3.370e+02]]",[893. 207.],[1023.  337.]
sim_217_30,0,"[[126.   1. 786.]
 [127.   1. 788.]
 [128.   2. 788.]
 ...
 [298. 172. 954.]
 [299. 173. 956.]
 [300. 174. 956.]]",[  1. 786.],[174. 956.]
sim_217_31,0,"[[  0. 186. 368.]
 [  1. 186. 369.]
 [  2. 187. 370.]
 ...
 [298. 473. 672.]
 [299. 474. 673.]
 [300. 475. 674.]]",[186. 368.],[475. 674.]
sim_217_32,0,"[[ 15.   0. 103.]
 [ 16.   1. 105.]
 [ 17.   2. 106.]
 ...
 [298. 279. 379.]
 [299. 280. 379.]
 [300. 280. 380.]]",[  0. 103.],[280. 380.]
sim_217_33,0,"[[  0. 535. 498.]
 [  1. 536. 499.]
 [  2. 537. 501.]
 ...
 [298. 835. 802.]
 [299. 836. 803.]
 [300. 838. 803.]]",[535. 498.],[838. 803.]
sim_217_34,0,"[[0.000e+00 8.090e+02 4.920e+02]
 [1.000e+00 8.090e+02 4.940e+02]
 [2.000e+00 8.110e+02 4.940e+02]
 ...
 [2.070e+02 1.022e+03 6.960e+02]
 [2.080e+02 1.023e+03 6.970e+02]
 [2.090e+02 1.024e+03 6.980e+02]]",[809. 492.],[1024.  698.]
sim_218_0,1,"[[  0. 463. 259.]
 [  1. 464. 259.]
 [  2. 466. 262.]
 ...
 [298. 814. 356.]
 [299. 814. 353.]
 [300. 813. 349.]]",[463. 259.],[813. 349.]
sim_218_1,1,"[[104.  46.   0.]
 [105.  47.   1.]
 [106.  48.   3.]
 ...
 [175.  10.  40.]
 [176.   7.  39.]
 [177.   2.  38.]]",[46.  0.],[ 2. 38.]
sim_218_2,1,"[[  0. 100. 787.]
 [  1. 100. 788.]
 [  2. 100. 790.]
 ...
 [210.   5. 826.]
 [211.   3. 827.]
 [212.   1. 827.]]",[100. 787.],[  1. 827.]
sim_218_3,1,"[[  0. 728. 233.]
 [  1. 728. 233.]
 [  2. 730. 234.]
 ...
 [298. 573. 383.]
 [299. 571. 385.]
 [300. 570. 386.]]",[728. 233.],[570. 386.]
sim_218_4,1,"[[0.000e+00 2.380e+02 7.800e+02]
 [1.000e+00 2.400e+02 7.810e+02]
 [2.000e+00 2.430e+02 7.840e+02]
 ...
 [1.460e+02 6.610e+02 1.021e+03]
 [1.470e+02 6.600e+02 1.023e+03]
 [1.480e+02 6.620e+02 1.024e+03]]",[238. 780.],[ 662. 1024.]
sim_218_5,1,"[[185.   1. 110.]
 [186.   3. 111.]
 [187.   6. 110.]
 ...
 [199.   5. 106.]
 [200.   3. 107.]
 [201.   1. 107.]]",[  1. 110.],[  1. 107.]
sim_218_6,1,"[[0.000e+00 9.000e+02 1.870e+02]
 [1.000e+00 9.010e+02 1.880e+02]
 [2.000e+00 9.060e+02 1.900e+02]
 ...
 [1.350e+02 1.014e+03 1.700e+02]
 [1.360e+02 1.018e+03 1.710e+02]
 [1.370e+02 1.021e+03 1.680e+02]]",[900. 187.],[1021.  168.]
sim_218_7,1,"[[ 167.    3.  974.]
 [ 168.    9.  976.]
 [ 169.   13.  978.]
 ...
 [ 188.  118. 1020.]
 [ 189.  121. 1021.]
 [ 190.  125. 1023.]]",[  3. 974.],[ 125. 1023.]
sim_218_8,1,"[[0.000e+00 4.510e+02 7.500e+02]
 [1.000e+00 4.500e+02 7.510e+02]
 [2.000e+00 4.510e+02 7.520e+02]
 ...
 [1.680e+02 3.300e+02 1.011e+03]
 [1.690e+02 3.300e+02 1.016e+03]
 [1.700e+02 3.300e+02 1.022e+03]]",[451. 750.],[ 330. 1022.]
sim_218_9,1,"[[0.000e+00 5.970e+02 2.510e+02]
 [1.000e+00 5.980e+02 2.530e+02]
 [2.000e+00 5.980e+02 2.540e+02]
 ...
 [2.850e+02 1.010e+03 5.570e+02]
 [2.860e+02 1.014e+03 5.590e+02]
 [2.870e+02 1.021e+03 5.610e+02]]",[597. 251.],[1021.  561.]
sim_218_10,1,"[[ 41. 465.   1.]
 [ 42. 468.   3.]
 [ 43. 472.   3.]
 ...
 [298. 856. 360.]
 [299. 853. 365.]
 [300. 849. 368.]]",[465.   1.],[849. 368.]
sim_218_11,1,"[[0.000e+00 8.460e+02 7.200e+01]
 [1.000e+00 8.470e+02 7.300e+01]
 [2.000e+00 8.470e+02 7.100e+01]
 ...
 [6.600e+01 9.960e+02 5.000e+00]
 [6.700e+01 9.990e+02 2.000e+00]
 [6.800e+01 1.001e+03 0.000e+00]]",[846.  72.],[1001.    0.]
sim_218_12,1,"[[1.700e+01 9.950e+02 1.000e+00]
 [1.800e+01 9.950e+02 1.000e+00]
 [1.900e+01 9.950e+02 3.000e+00]
 ...
 [4.900e+01 1.014e+03 2.700e+01]
 [5.000e+01 1.019e+03 2.900e+01]
 [5.100e+01 1.023e+03 2.900e+01]]",[995.   1.],[1023.   29.]
sim_218_13,1,"[[121. 836.   1.]
 [122. 837.   3.]
 [123. 837.   6.]
 ...
 [298. 797. 145.]
 [299. 798. 148.]
 [300. 798. 151.]]",[836.   1.],[798. 151.]
sim_218_14,1,"[[0.000e+00 7.300e+02 3.230e+02]
 [1.000e+00 7.320e+02 3.230e+02]
 [2.000e+00 7.320e+02 3.240e+02]
 ...
 [2.370e+02 1.019e+03 2.900e+02]
 [2.380e+02 1.021e+03 2.930e+02]
 [2.390e+02 1.023e+03 2.970e+02]]",[730. 323.],[1023.  297.]
sim_218_15,1,"[[117.   2. 331.]
 [118.   8. 333.]
 [119.  13. 334.]
 ...
 [298. 283. 549.]
 [299. 281. 550.]
 [300. 281. 550.]]",[  2. 331.],[281. 550.]
sim_218_16,1,"[[  0.  40. 389.]
 [  1.  42. 391.]
 [  2.  43. 393.]
 ...
 [298. 119. 811.]
 [299. 120. 807.]
 [300. 122. 803.]]",[ 40. 389.],[122. 803.]
sim_218_17,1,"[[  0. 759. 122.]
 [  1. 759. 122.]
 [  2. 760. 124.]
 ...
 [157. 745.   9.]
 [158. 742.   6.]
 [159. 740.   3.]]",[759. 122.],[740.   3.]
sim_218_18,1,"[[  0.  31. 182.]
 [  1.  32. 184.]
 [  2.  33. 185.]
 ...
 [298. 432. 808.]
 [299. 435. 808.]
 [300. 436. 809.]]",[ 31. 182.],[436. 809.]
sim_218_19,0,"[[  0. 607. 359.]
 [  1. 609. 360.]
 [  2. 609. 361.]
 ...
 [298. 902. 655.]
 [299. 903. 655.]
 [300. 904. 656.]]",[607. 359.],[904. 656.]
sim_218_20,0,"[[1.600e+02 0.000e+00 9.310e+02]
 [1.610e+02 0.000e+00 9.320e+02]
 [1.620e+02 1.000e+00 9.340e+02]
 ...
 [2.550e+02 9.300e+01 1.021e+03]
 [2.560e+02 9.400e+01 1.023e+03]
 [2.570e+02 9.500e+01 1.024e+03]]",[  0. 931.],[  95. 1024.]
sim_218_21,0,"[[  0. 256. 567.]
 [  1. 257. 568.]
 [  2. 258. 569.]
 ...
 [298. 544. 867.]
 [299. 545. 867.]
 [300. 546. 869.]]",[256. 567.],[546. 869.]
sim_218_22,0,"[[0.000e+00 4.160e+02 7.900e+02]
 [1.000e+00 4.170e+02 7.910e+02]
 [2.000e+00 4.190e+02 7.920e+02]
 ...
 [2.290e+02 6.550e+02 1.022e+03]
 [2.300e+02 6.560e+02 1.023e+03]
 [2.310e+02 6.580e+02 1.024e+03]]",[416. 790.],[ 658. 1024.]
sim_218_23,0,"[[  0. 235. 560.]
 [  1. 236. 560.]
 [  2. 236. 561.]
 ...
 [298. 529. 867.]
 [299. 530. 868.]
 [300. 531. 869.]]",[235. 560.],[531. 869.]
sim_218_24,0,"[[199.   1. 165.]
 [200.   2. 166.]
 [201.   2. 167.]
 ...
 [298. 103. 258.]
 [299. 104. 258.]
 [300. 104. 260.]]",[  1. 165.],[104. 260.]
sim_218_25,0,"[[  0. 543.  92.]
 [  1. 544.  93.]
 [  2. 546.  94.]
 ...
 [298. 830. 384.]
 [299. 831. 384.]
 [300. 832. 386.]]",[543.  92.],[832. 386.]
sim_218_26,0,"[[258. 887.   1.]
 [259. 887.   3.]
 [260. 888.   3.]
 ...
 [298. 926.  43.]
 [299. 927.  45.]
 [300. 927.  46.]]",[887.   1.],[927.  46.]
sim_218_27,0,"[[0.000e+00 7.070e+02 8.020e+02]
 [1.000e+00 7.090e+02 8.030e+02]
 [2.000e+00 7.110e+02 8.040e+02]
 ...
 [2.130e+02 9.190e+02 1.021e+03]
 [2.140e+02 9.190e+02 1.022e+03]
 [2.150e+02 9.210e+02 1.023e+03]]",[707. 802.],[ 921. 1023.]
sim_218_28,0,"[[0.000e+00 1.980e+02 7.190e+02]
 [1.000e+00 1.990e+02 7.190e+02]
 [2.000e+00 1.990e+02 7.200e+02]
 ...
 [2.980e+02 4.880e+02 1.009e+03]
 [2.990e+02 4.890e+02 1.011e+03]
 [3.000e+02 4.900e+02 1.011e+03]]",[198. 719.],[ 490. 1011.]
sim_218_29,0,"[[108. 798.   2.]
 [109. 798.   4.]
 [110. 799.   5.]
 ...
 [298. 978. 197.]
 [299. 978. 198.]
 [300. 979. 199.]]",[798.   2.],[979. 199.]
sim_219_0,1,"[[128.   1. 702.]
 [129.   4. 709.]
 [130.   6. 715.]
 ...
 [143.   2. 762.]
 [144.   2. 765.]
 [145.   1. 767.]]",[  1. 702.],[  1. 767.]
sim_219_1,1,"[[0.000e+00 6.550e+02 1.017e+03]
 [1.000e+00 6.560e+02 1.019e+03]
 [2.000e+00 6.580e+02 1.021e+03]
 ...
 [4.000e+00 6.620e+02 1.023e+03]
 [5.000e+00 6.650e+02 1.023e+03]
 [6.000e+00 6.670e+02 1.024e+03]]",[ 655. 1017.],[ 667. 1024.]
sim_219_2,1,"[[219. 893.   1.]
 [220. 897.   3.]
 [221. 900.   4.]
 ...
 [298. 900. 187.]
 [299. 900. 188.]
 [300. 898. 188.]]",[893.   1.],[898. 188.]
sim_219_3,1,"[[  88.    2.  920.]
 [  89.    5.  921.]
 [  90.    9.  921.]
 ...
 [ 142.   82. 1017.]
 [ 143.   81. 1020.]
 [ 144.   80. 1024.]]",[  2. 920.],[  80. 1024.]
sim_219_4,1,"[[  6.   4. 316.]
 [  7.  10. 317.]
 [  8.  16. 317.]
 ...
 [298. 576. 712.]
 [299. 576. 717.]
 [300. 577. 721.]]",[  4. 316.],[577. 721.]
sim_219_5,1,"[[ 74.   4. 612.]
 [ 75.  10. 614.]
 [ 76.  16. 617.]
 ...
 [298. 321. 726.]
 [299. 323. 730.]
 [300. 325. 733.]]",[  4. 612.],[325. 733.]
sim_219_6,1,"[[  63. 1017.  161.]
 [  64. 1011.  163.]
 [  65. 1005.  165.]
 ...
 [ 107. 1015.  132.]
 [ 108. 1019.  133.]
 [ 109. 1023.  135.]]",[1017.  161.],[1023.  135.]
sim_219_7,1,"[[  20. 1023.  633.]
 [  21. 1021.  634.]
 [  22. 1020.  636.]
 ...
 [  32. 1023.  664.]
 [  33. 1023.  664.]
 [  34. 1024.  665.]]",[1023.  633.],[1024.  665.]
sim_219_8,1,"[[156. 314.   0.]
 [157. 319.   7.]
 [158. 323.  12.]
 ...
 [298. 469. 126.]
 [299. 469. 127.]
 [300. 469. 128.]]",[314.   0.],[469. 128.]
sim_219_9,1,"[[0.000e+00 7.660e+02 5.960e+02]
 [1.000e+00 7.670e+02 5.980e+02]
 [2.000e+00 7.690e+02 5.990e+02]
 ...
 [1.460e+02 1.018e+03 7.610e+02]
 [1.470e+02 1.021e+03 7.640e+02]
 [1.480e+02 1.023e+03 7.670e+02]]",[766. 596.],[1023.  767.]
sim_219_10,1,"[[0.000e+00 9.280e+02 4.530e+02]
 [1.000e+00 9.280e+02 4.540e+02]
 [2.000e+00 9.300e+02 4.540e+02]
 ...
 [4.100e+01 1.017e+03 4.980e+02]
 [4.200e+01 1.020e+03 4.970e+02]
 [4.300e+01 1.023e+03 4.930e+02]]",[928. 453.],[1023.  493.]
sim_219_11,1,"[[0.000e+00 8.650e+02 3.390e+02]
 [1.000e+00 8.690e+02 3.400e+02]
 [2.000e+00 8.720e+02 3.410e+02]
 ...
 [5.700e+01 1.018e+03 4.350e+02]
 [5.800e+01 1.022e+03 4.370e+02]
 [5.900e+01 1.024e+03 4.390e+02]]",[865. 339.],[1024.  439.]
sim_219_12,1,"[[  0. 626. 287.]
 [  1. 628. 290.]
 [  2. 630. 292.]
 ...
 [298. 897. 866.]
 [299. 902. 870.]
 [300. 906. 872.]]",[626. 287.],[906. 872.]
sim_219_13,1,"[[0.000e+00 9.070e+02 9.720e+02]
 [1.000e+00 9.060e+02 9.740e+02]
 [2.000e+00 9.070e+02 9.750e+02]
 ...
 [5.700e+01 1.016e+03 9.250e+02]
 [5.800e+01 1.020e+03 9.260e+02]
 [5.900e+01 1.023e+03 9.260e+02]]",[907. 972.],[1023.  926.]
sim_219_14,1,"[[  0. 154. 533.]
 [  1. 155. 533.]
 [  2. 154. 533.]
 ...
 [298. 311. 950.]
 [299. 309. 951.]
 [300. 307. 954.]]",[154. 533.],[307. 954.]
sim_219_15,1,"[[  0. 397. 427.]
 [  1. 399. 427.]
 [  2. 400. 427.]
 ...
 [298. 577. 756.]
 [299. 576. 756.]
 [300. 574. 756.]]",[397. 427.],[574. 756.]
sim_219_16,1,"[[0.000e+00 4.220e+02 6.530e+02]
 [1.000e+00 4.230e+02 6.550e+02]
 [2.000e+00 4.230e+02 6.580e+02]
 ...
 [1.170e+02 6.070e+02 1.015e+03]
 [1.180e+02 6.060e+02 1.019e+03]
 [1.190e+02 6.030e+02 1.023e+03]]",[422. 653.],[ 603. 1023.]
sim_219_17,1,"[[ 13.   4. 397.]
 [ 14.   8. 396.]
 [ 15.  11. 395.]
 ...
 [298. 227. 507.]
 [299. 232. 509.]
 [300. 235. 512.]]",[  4. 397.],[235. 512.]
sim_219_18,1,"[[ 24. 541.   1.]
 [ 25. 542.   7.]
 [ 26. 542.  12.]
 ...
 [298. 539. 268.]
 [299. 538. 269.]
 [300. 536. 271.]]",[541.   1.],[536. 271.]
sim_219_19,0,"[[  0. 592. 667.]
 [  1. 593. 669.]
 [  2. 594. 669.]
 ...
 [298. 885. 969.]
 [299. 886. 971.]
 [300. 887. 972.]]",[592. 667.],[887. 972.]
sim_219_20,0,"[[  0. 620. 460.]
 [  1. 621. 461.]
 [  2. 622. 463.]
 ...
 [298. 904. 738.]
 [299. 905. 739.]
 [300. 906. 740.]]",[620. 460.],[906. 740.]
sim_219_21,0,"[[  0.  53. 581.]
 [  1.  53. 583.]
 [  2.  54. 584.]
 ...
 [298. 361. 871.]
 [299. 362. 872.]
 [300. 364. 873.]]",[ 53. 581.],[364. 873.]
sim_219_22,0,"[[0.000e+00 7.860e+02 4.320e+02]
 [1.000e+00 7.870e+02 4.330e+02]
 [2.000e+00 7.870e+02 4.340e+02]
 ...
 [2.490e+02 1.023e+03 6.670e+02]
 [2.500e+02 1.023e+03 6.670e+02]
 [2.510e+02 1.024e+03 6.680e+02]]",[786. 432.],[1024.  668.]
sim_219_23,0,"[[0.000e+00 8.780e+02 4.220e+02]
 [1.000e+00 8.780e+02 4.230e+02]
 [2.000e+00 8.800e+02 4.250e+02]
 ...
 [1.380e+02 1.022e+03 5.580e+02]
 [1.390e+02 1.023e+03 5.600e+02]
 [1.400e+02 1.024e+03 5.610e+02]]",[878. 422.],[1024.  561.]
sim_219_24,0,"[[  0. 225. 222.]
 [  1. 225. 223.]
 [  2. 226. 224.]
 ...
 [298. 528. 511.]
 [299. 530. 511.]
 [300. 531. 513.]]",[225. 222.],[531. 513.]
sim_219_25,0,"[[0.000e+00 7.680e+02 9.720e+02]
 [1.000e+00 7.690e+02 9.730e+02]
 [2.000e+00 7.700e+02 9.730e+02]
 ...
 [4.900e+01 8.140e+02 1.020e+03]
 [5.000e+01 8.150e+02 1.022e+03]
 [5.100e+01 8.160e+02 1.023e+03]]",[768. 972.],[ 816. 1023.]
sim_219_26,0,"[[0.000e+00 8.650e+02 8.860e+02]
 [1.000e+00 8.660e+02 8.860e+02]
 [2.000e+00 8.660e+02 8.880e+02]
 ...
 [1.250e+02 9.900e+02 1.021e+03]
 [1.260e+02 9.900e+02 1.022e+03]
 [1.270e+02 9.910e+02 1.023e+03]]",[865. 886.],[ 991. 1023.]
sim_219_27,0,"[[195. 709.   1.]
 [196. 711.   3.]
 [197. 712.   4.]
 ...
 [298. 816. 102.]
 [299. 817. 103.]
 [300. 818. 104.]]",[709.   1.],[818. 104.]
sim_219_28,0,"[[  0. 538. 365.]
 [  1. 540. 366.]
 [  2. 541. 366.]
 ...
 [298. 842. 666.]
 [299. 843. 667.]
 [300. 843. 667.]]",[538. 365.],[843. 667.]
sim_219_29,0,"[[0.000e+00 4.060e+02 8.430e+02]
 [1.000e+00 4.070e+02 8.440e+02]
 [2.000e+00 4.080e+02 8.450e+02]
 ...
 [1.680e+02 5.700e+02 1.021e+03]
 [1.690e+02 5.710e+02 1.022e+03]
 [1.700e+02 5.710e+02 1.024e+03]]",[406. 843.],[ 571. 1024.]
sim_219_30,0,"[[0.000e+00 8.810e+02 8.600e+02]
 [1.000e+00 8.820e+02 8.620e+02]
 [2.000e+00 8.830e+02 8.630e+02]
 ...
 [1.410e+02 1.022e+03 1.002e+03]
 [1.420e+02 1.023e+03 1.004e+03]
 [1.430e+02 1.023e+03 1.005e+03]]",[881. 860.],[1023. 1005.]
sim_219_31,0,"[[ 16. 375.   1.]
 [ 17. 376.   1.]
 [ 18. 378.   2.]
 ...
 [298. 654. 291.]
 [299. 655. 292.]
 [300. 655. 294.]]",[375.   1.],[655. 294.]
sim_219_32,0,"[[  0. 243. 395.]
 [  1. 244. 396.]
 [  2. 245. 397.]
 ...
 [298. 555. 699.]
 [299. 556. 700.]
 [300. 558. 701.]]",[243. 395.],[558. 701.]
sim_219_33,0,"[[0.000e+00 8.010e+02 4.060e+02]
 [1.000e+00 8.030e+02 4.070e+02]
 [2.000e+00 8.040e+02 4.080e+02]
 ...
 [2.120e+02 1.022e+03 6.200e+02]
 [2.130e+02 1.022e+03 6.210e+02]
 [2.140e+02 1.023e+03 6.210e+02]]",[801. 406.],[1023.  621.]
sim_219_34,0,"[[243.   0. 120.]
 [244.   0. 122.]
 [245.   1. 123.]
 ...
 [298.  51. 180.]
 [299.  51. 181.]
 [300.  52. 183.]]",[  0. 120.],[ 52. 183.]
sim_219_35,0,"[[0.000e+00 2.590e+02 8.250e+02]
 [1.000e+00 2.590e+02 8.260e+02]
 [2.000e+00 2.610e+02 8.260e+02]
 ...
 [2.050e+02 4.660e+02 1.022e+03]
 [2.060e+02 4.660e+02 1.023e+03]
 [2.070e+02 4.670e+02 1.024e+03]]",[259. 825.],[ 467. 1024.]
sim_219_36,0,"[[0.000e+00 3.090e+02 7.920e+02]
 [1.000e+00 3.100e+02 7.940e+02]
 [2.000e+00 3.110e+02 7.940e+02]
 ...
 [2.310e+02 5.430e+02 1.021e+03]
 [2.320e+02 5.450e+02 1.021e+03]
 [2.330e+02 5.460e+02 1.023e+03]]",[309. 792.],[ 546. 1023.]
